Barcode,Well,Result
NB00153860,A01,134619
NB00153860,A02,134370
NB00153860,A03,133495
NB00153860,A04,137052
NB00153860,A05,4220919
NB00153860,A06,4144810
NB00153860,A07,4126054
NB00153860,A08,4011121
NB00153860,A09,4185466
NB00153860,A10,4124656
NB00153860,A11,4213111
NB00153860,A12,4390177
NB00153860,A13,4213827
NB00153860,A14,4192173
NB00153860,A15,4262408
NB00153860,A16,4177720
NB00153860,A17,4289229
NB00153860,A18,4243722
NB00153860,A19,4328818
NB00153860,A20,4162472
NB00153860,A21,4223333
NB00153860,A22,4202856
NB00153860,A23,4194614
NB00153860,A24,4222640
NB00153860,A25,4161492
NB00153860,A26,4311200
NB00153860,A27,4185093
NB00153860,A28,4332718
NB00153860,A29,4324978
NB00153860,A30,4555507
NB00153860,A31,4408523
NB00153860,A32,4351030
NB00153860,A33,4435168
NB00153860,A34,4583403
NB00153860,A35,4526874
NB00153860,A36,4531306
NB00153860,A37,4639409
NB00153860,A38,4620945
NB00153860,A39,4573043
NB00153860,A40,4509389
NB00153860,A41,4666951
NB00153860,A42,4607216
NB00153860,A43,4678625
NB00153860,A44,4702592
NB00153860,A45,4798232
NB00153860,A46,4755709
NB00153860,A47,4670046
NB00153860,A48,4527409
NB00153860,B01,137917
NB00153860,B02,133777
NB00153860,B03,495884
NB00153860,B04,135574
NB00153860,B05,4775007
NB00153860,B06,4787891
NB00153860,B07,4748757
NB00153860,B08,4715841
NB00153860,B09,4660484
NB00153860,B10,4812320
NB00153860,B11,4834941
NB00153860,B12,4794561
NB00153860,B13,4796235
NB00153860,B14,4851059
NB00153860,B15,4813002
NB00153860,B16,4690358
NB00153860,B17,4816203
NB00153860,B18,4784761
NB00153860,B19,4731036
NB00153860,B20,4688253
NB00153860,B21,4774042
NB00153860,B22,4775193
NB00153860,B23,4809156
NB00153860,B24,4876899
NB00153860,B25,5211981
NB00153860,B26,5091946
NB00153860,B27,4939243
NB00153860,B28,4940297
NB00153860,B29,4867458
NB00153860,B30,4941648
NB00153860,B31,4810972
NB00153860,B32,4921142
NB00153860,B33,5029845
NB00153860,B34,4813170
NB00153860,B35,4941916
NB00153860,B36,4954541
NB00153860,B37,5034493
NB00153860,B38,5076037
NB00153860,B39,4945252
NB00153860,B40,5022639
NB00153860,B41,5089404
NB00153860,B42,5163249
NB00153860,B43,5019427
NB00153860,B44,4934501
NB00153860,B45,5019660
NB00153860,B46,5082444
NB00153860,B47,5046677
NB00153860,B48,4718011
NB00153860,C01,136459
NB00153860,C02,134145
NB00153860,C03,130892
NB00153860,C04,132172
NB00153860,C05,4641131
NB00153860,C06,4631295
NB00153860,C07,4689623
NB00153860,C08,4381776
NB00153860,C09,4506955
NB00153860,C10,4581087
NB00153860,C11,4749287
NB00153860,C12,4527125
NB00153860,C13,4711394
NB00153860,C14,4681246
NB00153860,C15,4736232
NB00153860,C16,4615713
NB00153860,C17,4777283
NB00153860,C18,4809715
NB00153860,C19,4708968
NB00153860,C20,4668982
NB00153860,C21,4623499
NB00153860,C22,4589257
NB00153860,C23,4511984
NB00153860,C24,4601675
NB00153860,C25,4619753
NB00153860,C26,4804296
NB00153860,C27,4747144
NB00153860,C28,4798761
NB00153860,C29,4829209
NB00153860,C30,4783875
NB00153860,C31,4785768
NB00153860,C32,4717907
NB00153860,C33,4878060
NB00153860,C34,4858107
NB00153860,C35,4916918
NB00153860,C36,4877632
NB00153860,C37,4889604
NB00153860,C38,5118978
NB00153860,C39,5333732
NB00153860,C40,5054990
NB00153860,C41,5040716
NB00153860,C42,4986751
NB00153860,C43,5031212
NB00153860,C44,5111403
NB00153860,C45,5151091
NB00153860,C46,5359699
NB00153860,C47,5022862
NB00153860,C48,4905396
NB00153860,D01,135644
NB00153860,D02,135713
NB00153860,D03,134992
NB00153860,D04,135377
NB00153860,D05,4918139
NB00153860,D06,5122444
NB00153860,D07,4831069
NB00153860,D08,4708703
NB00153860,D09,4768965
NB00153860,D10,4861246
NB00153860,D11,4790557
NB00153860,D12,4737737
NB00153860,D13,4967606
NB00153860,D14,4872611
NB00153860,D15,4852261
NB00153860,D16,4871002
NB00153860,D17,4820132
NB00153860,D18,4803939
NB00153860,D19,4918895
NB00153860,D20,4813466
NB00153860,D21,4819894
NB00153860,D22,4833288
NB00153860,D23,4949276
NB00153860,D24,4989270
NB00153860,D25,4863880
NB00153860,D26,5149944
NB00153860,D27,5140736
NB00153860,D28,4905792
NB00153860,D29,5051391
NB00153860,D30,5166311
NB00153860,D31,5107715
NB00153860,D32,4842016
NB00153860,D33,4893924
NB00153860,D34,5023858
NB00153860,D35,5012164
NB00153860,D36,5097228
NB00153860,D37,5050688
NB00153860,D38,5030071
NB00153860,D39,5101403
NB00153860,D40,5131754
NB00153860,D41,5239214
NB00153860,D42,5262120
NB00153860,D43,5250180
NB00153860,D44,5161493
NB00153860,D45,5302246
NB00153860,D46,5211562
NB00153860,D47,5182760
NB00153860,D48,4955557
NB00153860,E01,146004
NB00153860,E02,141759
NB00153860,E03,137244
NB00153860,E04,136338
NB00153860,E05,4529875
NB00153860,E06,4570108
NB00153860,E07,4571813
NB00153860,E08,4385930
NB00153860,E09,4510480
NB00153860,E10,4420754
NB00153860,E11,4591466
NB00153860,E12,4351959
NB00153860,E13,4575246
NB00153860,E14,4596521
NB00153860,E15,4663580
NB00153860,E16,4518556
NB00153860,E17,5221834
NB00153860,E18,4692880
NB00153860,E19,4645737
NB00153860,E20,4550530
NB00153860,E21,4586099
NB00153860,E22,4589071
NB00153860,E23,4554939
NB00153860,E24,4548365
NB00153860,E25,4589084
NB00153860,E26,4660609
NB00153860,E27,4700738
NB00153860,E28,4671294
NB00153860,E29,4696518
NB00153860,E30,4872302
NB00153860,E31,4807569
NB00153860,E32,4777413
NB00153860,E33,4868462
NB00153860,E34,4862828
NB00153860,E35,4922240
NB00153860,E36,4822665
NB00153860,E37,6829180
NB00153860,E38,5024843
NB00153860,E39,5020833
NB00153860,E40,5047851
NB00153860,E41,5095702
NB00153860,E42,5080298
NB00153860,E43,5025449
NB00153860,E44,5149471
NB00153860,E45,5142547
NB00153860,E46,5412979
NB00153860,E47,5141955
NB00153860,E48,5063778
NB00153860,F01,137609
NB00153860,F02,140300
NB00153860,F03,146074
NB00153860,F04,137547
NB00153860,F05,4874488
NB00153860,F06,5003483
NB00153860,F07,4946709
NB00153860,F08,4710887
NB00153860,F09,4865223
NB00153860,F10,4941421
NB00153860,F11,4958066
NB00153860,F12,4905057
NB00153860,F13,5024614
NB00153860,F14,5040734
NB00153860,F15,4961065
NB00153860,F16,4865794
NB00153860,F17,5035704
NB00153860,F18,5024663
NB00153860,F19,5019403
NB00153860,F20,4805473
NB00153860,F21,4948582
NB00153860,F22,4929599
NB00153860,F23,4922755
NB00153860,F24,5016499
NB00153860,F25,4936735
NB00153860,F26,5083768
NB00153860,F27,5301514
NB00153860,F28,4971563
NB00153860,F29,5226593
NB00153860,F30,5152195
NB00153860,F31,5188783
NB00153860,F32,5244799
NB00153860,F33,5255587
NB00153860,F34,5273780
NB00153860,F35,5083597
NB00153860,F36,5041625
NB00153860,F37,5122094
NB00153860,F38,5235200
NB00153860,F39,5115057
NB00153860,F40,5168894
NB00153860,F41,5278256
NB00153860,F42,5260644
NB00153860,F43,5332171
NB00153860,F44,5114083
NB00153860,F45,5315637
NB00153860,F46,5318680
NB00153860,F47,5156817
NB00153860,F48,5025270
NB00153860,G01,146889
NB00153860,G02,138703
NB00153860,G03,137504
NB00153860,G04,131840
NB00153860,G05,4815332
NB00153860,G06,4761676
NB00153860,G07,4809228
NB00153860,G08,4645800
NB00153860,G09,4697734
NB00153860,G10,4725367
NB00153860,G11,4772028
NB00153860,G12,4692461
